Sample,HMDB,KEGG ID,1N,2N,3N,4N,5N,6N,7N,8N,1V,2V,3V,4V,5V,6V,7V,8V
Label,,,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS
3-(3-Hydroxyphenyl)-3-hydroxypropanoate,HMDB0002643,NA,0.4433,0.4004,0.0286,0.039,0.1937,0.0338,0.0273,0.3315,0.0767,0.0338,0.0065,0.0247,0.6045,0.2691,0.0182,0.0273
3-Hydroxyphenylacetate,HMDB0000440,C05593,0.2522,0.2249,0.0936,0.0858,0.0364,0.0741,0.1066,0.2912,0.052,0.1339,0.0611,0.0689,0,0.1898,0.0377,0.0559
3-Phenylpropionate,HMDB0000764,C05629,0.234,0.2444,0.3458,0.3055,0.1417,0.2548,0.4199,0.4251,0.455,0.2171,0.4277,0.3185,0.1235,0.2184,0.3861,0.3419
Phloretate,HMDB0002199,C01744,0,0,0.4719,0,0,0,0,0,0,0.221,0.2379,0.2392,0.104,0,0.1586,0
Urocanate,HMDB0000301,C00785,0.0377,0.0689,0.0793,0.0455,0.1261,0.0169,0.1404,0.0533,0.0299,0.0793,0.0533,0.039,0.1326,0,0.0182,0.0572
Methylamine,HMDB0000164,C00218,0.0663,0.1508,0.0923,0.065,0.3276,0.0481,0.0858,0.2353,0.2236,0.1053,0.0832,0.0481,0.013,0.0273,0.0741,0.1053
Dimethylamine,HMDB0000087,C00543,0.0195,0.0182,0.0143,0.0104,0.0156,0.0078,0.0156,0.0117,0.0169,0.0104,0.0052,0.0117,0.0234,0.0091,0.0104,0.013
Putrescine,HMDB0001414,C00134,0.0572,0.0442,0.0442,0.065,0.0767,0.1118,0.0416,0.104,0.0546,0.0754,0.0689,0.0884,0,0.13,0.0572,0.0533
Tyramine,HMDB0000306,C00483,0.0104,0.0429,0,0,0,0,0,0.4485,0,0.3003,0.3042,0.1079,0.2925,0,0.2509,0
Glucose,HMDB0000122,C00221,3.0927,2.8236,3.9689,2.1827,6.6001,2.2399,5.0375,5.1415,2.0293,5.642,6.7353,9.0103,8.177,5.6537,4.199,5.4626
Galactose,HMDB0000143,C00984,0.4732,0.3952,0.4459,0.9685,0.8294,0.7059,1.1375,1.1323,0.7605,0.494,0.5993,0.6318,0.8697,0.8034,0.6942,0.2964
Fucose,HMDB0012327,C02781,0.2808,0.2158,0.2912,0.3679,0.2457,0.3419,0.5343,0.3159,0.4589,0.3367,0.2938,0.234,0.3094,0.3211,0.2743,0.1625
Xylose,HMDB0000098,C00181,1.2337,1.7966,1.404,1.3559,3.5672,0.9438,4.0118,3.4242,0.7475,2.5376,2.639,1.924,2.8639,0.975,2.6364,1.5431
Ribose,HMDB0000283,C00121,2.1775,1.6731,3.4372,7.6778,3.3137,3.8766,2.4765,3.9013,9.3678,1.7329,2.8054,2.6702,2.2113,2.5181,3.6439,4.1275
Arabinose,HMDB0000646,C02479,0.3185,0.416,0.2028,0.104,0.6136,0.1469,0.6474,0.3458,0.1729,0.3614,0.5421,0.5564,1.2025,0.3679,0.2483,0.2561
Glucose-1-phosphate,HMDB0000645,C00446,0,0,0.1261,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Acetylglucosamine,HMDB0000215,C00140,0.6708,0.3315,0.4264,0.5746,0,0.832,0.5603,0.8671,0.728,0.2912,0.3302,0.3978,0.0728,0.1443,0.7826,0.1378
Sucrose,HMDB0000258,C00089,0.0169,0,0.0546,0,0,0,0,0,0,0.0442,0,0.0247,0.1209,0,0,0.0897
Galacturonate,HMDB0002545,C08348,0.507,0.5668,0.7358,1.131,1.5782,1.0998,0.7943,0.7306,1.3312,1.1011,0.5967,0.598,0.8879,0.3211,1.1635,0.7618
Alanine,HMDB0000161,C00041,0.4147,0.6747,0.2834,0.1976,0.4966,0.2496,0.468,0.3107,0.3692,0.3406,0.2691,0.2834,0.6682,0.7891,0.1742,0.2262
Asparagine,HMDB0000168,C00152,0.5421,0.715,0.5876,0.2548,0,0.1677,0.949,0.169,0.2171,0.5421,0.5525,0.4381,0.1547,0.1105,0.2951,0.182
Aspartate,HMDB0000191,C00049,0.4017,0.4784,0.1846,0.2119,0.364,0.5447,0.6266,0.3861,0.3211,0.4238,0.4355,0.3276,0.4017,0.637,0.2587,0.3068
?-Alanine,HMDB0000056,C00099,0.0715,0.0923,0.117,0.429,0.6071,0.039,0.0442,0.0585,0.1261,0.0767,0.0845,0.0416,0.2522,1.2051,0.0572,0.1066
Glutamate,HMDB0000148,C00025,3.783,2.8795,5.6979,7.9404,6.214,5.7603,4.2679,6.1451,12.9181,3.4164,4.8386,3.9065,5.1207,4.134,3.8558,7.2436
Glutamine,HMDB0000641,C00064,0.7397,0.6253,0.6968,1.0465,0.8255,0.676,0.9126,2.9081,0.5811,0.5824,0.7631,0.3107,0.4238,0.6175,0.7098,0.637
4-Aminobutyrate,HMDB0000112,C00334,0.0325,0.0325,0.0455,0.078,0.1729,0.0715,0.0299,0.039,0.1092,0.0585,0,0.0078,0.1313,0.026,0.0299,0.052
Ornithine,HMDB0000214,C00077,0.2132,0.1846,0.2548,0.1495,0.1794,0.2262,0.2587,0.1287,0.4732,0.1508,0.117,0.0637,0.1326,0.1664,0.1612,0.1547
Citrulline,HMDB0000904,C00327,0.6708,1.1713,1.2285,1.3325,0.39,1.0062,0.858,1.4274,2.2022,0.8086,0.8853,0.5486,0,0.2756,0.7189,1.3377
Glycine,HMDB0000123,C00037,1.0335,1.0933,0.9685,1.7511,1.1726,0.9412,1.4625,2.0345,1.2389,0.7111,1.2428,0.9113,0.7878,1.3936,0.9581,0.676
Histidine,HMDB0000177,C00135,0.1573,0.0871,0.1105,0.1547,0.169,0.0897,0.1586,0.1911,0.0689,0.1144,0.13,0.0845,0.2613,0.2015,0.0364,0.104
Isoleucine,HMDB0000172,C00407,1.2454,1.3962,1.3104,2.5688,0.9451,1.3494,1.8811,2.6819,3.9208,1.0088,1.7095,1.0868,0.3744,0.6903,1.7537,1.6952
